rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_at_checkout,delay_of_previous_client_in_minutes,previous_client_late,delay_of_rental_start_in_minutes,client_rental_start_impacted
536374,308579,mobile,ended,-59.0,537187.0,120.0,checkout not delayed,109.0,yes,-11.0,no
536722,387431,mobile,canceled,,536764.0,180.0,checkout not delayed,58.0,yes,-122.0,no
538330,379984,mobile,ended,31.0,532790.0,0.0,checkout delayed,-9.0,no,-9.0,no
539625,337217,mobile,ended,-95.0,537192.0,270.0,checkout not delayed,-253.0,no,-523.0,no
535749,403430,mobile,ended,-74.0,536548.0,0.0,checkout not delayed,,no,,no
539151,282893,mobile,canceled,,548646.0,30.0,checkout not delayed,201.0,yes,171.0,yes
539370,402235,mobile,ended,-105.0,542031.0,120.0,checkout not delayed,-32.0,no,-152.0,no
546948,402528,connect,canceled,,556249.0,330.0,checkout not delayed,-24.0,no,-354.0,no
518569,277669,mobile,ended,14.0,523594.0,480.0,checkout delayed,-56.0,no,-536.0,no
528879,307983,connect,canceled,,537437.0,570.0,checkout not delayed,-168.0,no,-738.0,no
547062,396552,mobile,ended,27.0,513104.0,90.0,checkout delayed,23.0,yes,-67.0,no
547655,375834,mobile,ended,89.0,548169.0,0.0,checkout delayed,5.0,yes,5.0,yes
548863,409344,mobile,ended,7.0,547160.0,300.0,checkout delayed,1.0,yes,-299.0,no
548864,396250,mobile,ended,527.0,550060.0,120.0,checkout delayed,123.0,yes,3.0,yes
549128,367632,connect,canceled,,545710.0,0.0,checkout not delayed,-7.0,no,-7.0,no
549460,345080,connect,canceled,,550757.0,720.0,checkout not delayed,-55.0,no,-775.0,no
550095,298757,connect,ended,-14.0,548361.0,630.0,checkout not delayed,-36.0,no,-666.0,no
550504,405611,connect,ended,59.0,562977.0,630.0,checkout delayed,210.0,yes,-420.0,no
550564,333910,mobile,ended,-9.0,542509.0,120.0,checkout not delayed,30.0,yes,-90.0,no
550832,358082,connect,ended,34.0,549771.0,90.0,checkout delayed,-97.0,no,-187.0,no
540784,310576,connect,ended,54.0,536453.0,0.0,checkout delayed,-36.0,no,-36.0,no
541926,409589,mobile,ended,4.0,538736.0,150.0,checkout delayed,52.0,yes,-98.0,no
545532,387939,connect,ended,7.0,546352.0,300.0,checkout delayed,91.0,yes,-209.0,no
548933,355788,mobile,ended,-182.0,549479.0,720.0,checkout not delayed,60.0,yes,-660.0,no
549385,311265,mobile,ended,,548736.0,120.0,checkout not delayed,-66.0,no,-186.0,no
549467,372779,mobile,ended,-62.0,547247.0,240.0,checkout not delayed,2.0,yes,-238.0,no
549471,334190,connect,ended,-89.0,554043.0,630.0,checkout not delayed,15.0,yes,-615.0,no
551707,404424,mobile,ended,105.0,550671.0,0.0,checkout delayed,105.0,yes,105.0,yes
