rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_at_checkout,delay_of_previous_client_in_minutes,previous_client_late,delay_of_rental_start_in_minutes,client_rental_start_impacted,state_encoded
539369,390467,connect,ended,41.0,,,checkout delayed,,no,,no,0
539396,388032,mobile,ended,3.0,,,checkout delayed,,no,,no,0
539451,355444,connect,ended,-536.0,,,checkout not delayed,,no,,no,0
539558,370997,connect,canceled,,,,checkout not delayed,,no,,no,1
539688,369483,mobile,ended,216.0,,,checkout delayed,,no,,no,0
539711,320531,mobile,ended,,,,checkout not delayed,,no,,no,0
539865,277766,mobile,ended,28.0,,,checkout delayed,,no,,no,0
539923,247971,mobile,ended,-51.0,,,checkout not delayed,,no,,no,0
539995,258837,mobile,ended,93.0,,,checkout delayed,,no,,no,0
540018,245480,mobile,ended,-196.0,,,checkout not delayed,,no,,no,0
540190,365531,mobile,ended,9.0,,,checkout delayed,,no,,no,0
540217,398802,mobile,ended,-988.0,543426.0,720.0,checkout not delayed,51.0,yes,-669.0,no,0
540298,202057,mobile,ended,-6.0,,,checkout not delayed,,no,,no,0
540330,362860,mobile,ended,-18.0,,,checkout not delayed,,no,,no,0
540360,404476,mobile,ended,,,,checkout not delayed,,no,,no,0
540369,341086,mobile,ended,-62.0,,,checkout not delayed,,no,,no,0
540434,402505,mobile,ended,210.0,,,checkout delayed,,no,,no,0
540479,374684,mobile,ended,12.0,539751.0,0.0,checkout delayed,3.0,yes,3.0,yes,0
540553,303506,mobile,ended,-24.0,,,checkout not delayed,,no,,no,0
540633,396732,mobile,ended,-5.0,,,checkout not delayed,,no,,no,0
540643,217777,connect,canceled,,,,checkout not delayed,,no,,no,1
540649,352528,connect,ended,90.0,,,checkout delayed,,no,,no,0
540733,393558,mobile,ended,15422.0,,,checkout delayed,,no,,no,0
540735,314897,mobile,ended,-14.0,,,checkout not delayed,,no,,no,0
540966,405906,mobile,ended,11.0,,,checkout delayed,,no,,no,0
541014,321607,mobile,ended,-7.0,,,checkout not delayed,,no,,no,0
541060,280562,mobile,ended,146.0,,,checkout delayed,,no,,no,0
541174,284552,mobile,ended,-25.0,,,checkout not delayed,,no,,no,0
541334,372670,mobile,ended,,,,checkout not delayed,,no,,no,0
541372,387559,mobile,ended,13.0,,,checkout delayed,,no,,no,0
541444,397413,mobile,ended,901.0,,,checkout delayed,,no,,no,0
541590,378418,mobile,canceled,,,,checkout not delayed,,no,,no,1
541784,408830,mobile,ended,52.0,,,checkout delayed,,no,,no,0
541862,382364,mobile,ended,125.0,540607.0,0.0,checkout delayed,1.0,yes,1.0,yes,0
541884,398604,mobile,ended,,,,checkout not delayed,,no,,no,0
541948,321674,mobile,ended,165.0,,,checkout delayed,,no,,no,0
541991,329496,mobile,ended,-25.0,,,checkout not delayed,,no,,no,0
542033,164574,mobile,ended,,,,checkout not delayed,,no,,no,0
542106,392656,mobile,ended,,,,checkout not delayed,,no,,no,0
542149,371368,mobile,ended,83.0,,,checkout delayed,,no,,no,0
542203,388268,mobile,ended,69.0,,,checkout delayed,,no,,no,0
542222,207728,mobile,ended,156.0,,,checkout delayed,,no,,no,0
542300,307595,mobile,ended,,539897.0,30.0,checkout not delayed,,no,,no,0
542336,374400,mobile,canceled,,,,checkout not delayed,,no,,no,1
542339,322005,mobile,ended,12.0,,,checkout delayed,,no,,no,0
542374,409676,mobile,ended,50.0,540444.0,180.0,checkout delayed,131.0,yes,-49.0,no,0
542400,315909,mobile,ended,-7.0,,,checkout not delayed,,no,,no,0
542413,409980,mobile,canceled,,,,checkout not delayed,,no,,no,1
542520,401751,mobile,ended,183.0,,,checkout delayed,,no,,no,0
542549,221978,mobile,canceled,,,,checkout not delayed,,no,,no,1
542661,391512,mobile,ended,-170.0,,,checkout not delayed,,no,,no,0
542894,218964,mobile,ended,-36.0,,,checkout not delayed,,no,,no,0
542942,358082,connect,ended,-106.0,,,checkout not delayed,,no,,no,0
543012,393044,mobile,ended,9.0,,,checkout delayed,,no,,no,0
543050,379428,mobile,ended,-21.0,,,checkout not delayed,,no,,no,0
543088,200316,mobile,ended,64.0,,,checkout delayed,,no,,no,0
543150,410052,mobile,ended,23.0,,,checkout delayed,,no,,no,0
543180,350521,mobile,ended,14.0,,,checkout delayed,,no,,no,0
543186,395671,mobile,ended,5.0,,,checkout delayed,,no,,no,0
543243,344149,mobile,ended,300.0,,,checkout delayed,,no,,no,0
543251,409296,mobile,ended,-18.0,,,checkout not delayed,,no,,no,0
543257,389929,mobile,ended,,,,checkout not delayed,,no,,no,0
543287,377312,mobile,ended,12.0,,,checkout delayed,,no,,no,0
543321,371572,connect,ended,48.0,,,checkout delayed,,no,,no,0
543328,358772,connect,ended,-9.0,552619.0,240.0,checkout not delayed,-38.0,no,-278.0,no,0
543437,409808,mobile,ended,-57.0,,,checkout not delayed,,no,,no,0
543443,356551,connect,ended,-529.0,,,checkout not delayed,,no,,no,0
543464,399161,mobile,ended,670.0,,,checkout delayed,,no,,no,0
543614,378939,mobile,ended,-1087.0,,,checkout not delayed,,no,,no,0
543676,390481,mobile,ended,-53.0,,,checkout not delayed,,no,,no,0
543679,225795,connect,ended,64.0,540663.0,540.0,checkout delayed,60.0,yes,-480.0,no,0
543681,368432,mobile,ended,2.0,,,checkout delayed,,no,,no,0
543761,294189,mobile,ended,24.0,,,checkout delayed,,no,,no,0
543768,374169,connect,canceled,,543010.0,210.0,checkout not delayed,42.0,yes,-168.0,no,1
543780,319708,mobile,ended,55.0,,,checkout delayed,,no,,no,0
543808,369230,mobile,ended,75.0,536315.0,60.0,checkout delayed,-191.0,no,-251.0,no,0
543879,270665,mobile,ended,,,,checkout not delayed,,no,,no,0
543906,401666,mobile,ended,,,,checkout not delayed,,no,,no,0
543984,313085,mobile,ended,-44.0,,,checkout not delayed,,no,,no,0
544164,301301,connect,ended,-244.0,,,checkout not delayed,,no,,no,0
544167,306607,connect,ended,337.0,,,checkout delayed,,no,,no,0
544197,387939,connect,ended,39.0,,,checkout delayed,,no,,no,0
544443,337047,mobile,ended,56.0,,,checkout delayed,,no,,no,0
544489,405565,mobile,canceled,,,,checkout not delayed,,no,,no,1
